Kathmandu,KTM,
Pokhara,PKR,
Lalitpur,LLP,
Bharatpur,BRP,
Biratnagar,BRT,
Birgunj,BRJ,
Janakpur,JKP,
Ghorahi,GRH,
Hetauda,HTD,
Dhangadhi,DGH,
Tulsipur,TSP,
Itahari,ITH,
Nepalgunj,NGJ,
Butwal,BTL,
Dharan,DHR,
Kalaiya,KLY,
Jitpur,JTP,
Simara,SMR,
Bhimdatta,BDT,
Mechinagar,MCN,
Budhanilkantha,BNK,
Gokarneshwar,GKS,
Birtamod,BTM,
Birendranagar,BDN,
Tilottama,TTM,
Tokha,TKH,
Tikapur,TPR,
Lahan,LHA,
Triyuga,TYG,
Chandragiri,CDG,
Madhyapur Thimi,MTM,
Siraha,SRH,
Bhaktapur,BKP,
Tarakeshwar,TKW,
Sundar Haraincha,SHR,
Suryabinayak,SYB,
Godawari,GDW,
Barahachhetra,BCH,
Kapilvastu,KVT,
Lamki Chuha,LCH,
Ghodaghodi,GDG,
Banganga,BGG,
Damak,DMK,
Lumbini Sanskritik,LBS,
Chandrapur,CDP,
Kohalpur,KHP,
Vyas,VYS,
Ratnagar,RTN,
Barahathwa,BTW,
Rajbiraj,RBJ,
Barbardiya,BBD,
Shivaraj,SVR,
Gulariya,GRY,
Gaushala,GUS,
Bardibas,BDS,
Belbari,BBR,
Kritipur,KTP,
Bhadrapur,BDP,
Nagarjun,NRJ,
Dudhauli,DHL,
Kamalamai,KLI,
Buddhabhumi,BDB,
Shivasatashi,SVT,
Inaruwa,IRW,
Siddharthanagar,SDN,
Pathri,PTH,
Shanischare,SCR,
Kawasoti,KWS,
Krishnanagar,KNG,
Mahalaxmi,MLX,
Kageshwari,KGS,
Manohara,MNH,
Arjundhara,ADH,
Ishwarpur,IWP,
Rahapur,RHP,
Ramgram,RGR,
Lalbandhi,LBD,
Gaindakot,GDK,
Jaleshwar,JSW,
Nilkantha,NKT,
Baglung,BGL,
Rapti,RPT,
Suryadoya,SYD,
Krishnapur,KPR,
Duhabi,DHB,
Katari,KTR,
Khairhani,KRH,
Bansgadhi,BGD,
Sainamaina,SAN,
Banepa,BNP,
Changunarayan,CGR,
Sunwal,SNW,
Bardghat,BDG,
Ratuwamai,RTM,
Gauriganga,GRG,
Maharajganj,MRJ,
Urlabari,URB,
Mahagadhimai,MGD,
Bidur,BDR,
Madhyabindu,MDB,
Punarbas,PNB,
Belauri,BLU,
Devdaha,DVD,
Gauradaha,GRD,
Rangeli,RGL,
Bhajani,BJI,
Ramdhuni,RDH,
Waling,WLN,
Golbazar,GBZ,
